Timestamp,Identifier,PupilPositionX,PupilPositionY,PupilPositionZ,UnityWorldPositionX,UnityWorldPositionY,UnityWorldPositionZ
0.9900,norm_pos_0,0.1548,0.5096,0.0000,-5.9417,2.1715,-14.5899
0.9268,norm_pos_0,0.1564,0.5101,0.0000,-5.9461,2.1724,-14.5892
0.9886,norm_pos_0,0.1730,0.5054,0.0000,-5.9832,2.1587,-14.5650
0.9630,norm_pos_0,0.1737,0.5064,0.0000,-5.9887,2.1596,-14.5676
0.9705,norm_pos_0,0.1793,0.5063,0.0000,-6.0023,2.1583,-14.5619
0.9898,norm_pos_0,0.1831,0.5064,0.0000,-6.0134,2.1564,-14.5591
1.0000,norm_pos_0,0.1849,0.5064,0.0000,-6.0181,2.1563,-14.5574
0.9842,norm_pos_0,0.1849,0.5060,0.0000,-6.0185,2.1533,-14.5564
0.9741,norm_pos_0,0.1866,0.5065,0.0000,-6.0233,2.1541,-14.5555
0.9968,norm_pos_0,0.1874,0.5058,0.0000,-6.0247,2.1524,-14.5535
1.0000,norm_pos_0,0.1925,0.5067,0.0000,-6.0376,2.1534,-14.5500
1.0000,norm_pos_0,0.1941,0.5057,0.0000,-6.0408,2.1510,-14.5469
0.9925,norm_pos_0,0.1968,0.5061,0.0000,-6.0492,2.1534,-14.5468
1.0000,norm_pos_0,0.1989,0.5054,0.0000,-6.0537,2.1514,-14.5436
0.9854,norm_pos_0,0.1969,0.5038,0.0000,-6.0504,2.1492,-14.5448
0.9881,norm_pos_0,0.1958,0.5037,0.0000,-6.0477,2.1491,-14.5457
1.0000,norm_pos_0,0.1973,0.5030,0.0000,-6.0506,2.1473,-14.5430
1.0000,norm_pos_0,0.1971,0.5030,0.0000,-6.0503,2.1472,-14.5431
1.0000,norm_pos_0,0.1992,0.5030,0.0000,-6.0603,2.1467,-14.5429
1.0000,norm_pos_0,0.1982,0.5038,0.0000,-6.0585,2.1486,-14.5452
1.0000,norm_pos_0,0.1991,0.5022,0.0000,-6.0672,2.1447,-14.5446
1.0000,norm_pos_0,0.2022,0.5032,0.0000,-6.0757,2.1467,-14.5433
1.0000,norm_pos_0,0.2031,0.5038,0.0000,-6.0785,2.1478,-14.5433
1.0000,norm_pos_0,0.2034,0.5048,0.0000,-6.0868,2.1506,-14.5475
0.9653,norm_pos_0,0.2047,0.5051,0.0000,-6.0901,2.1511,-14.5468
0.9830,norm_pos_0,0.2057,0.5062,0.0000,-6.0934,2.1533,-14.5475
1.0000,norm_pos_0,0.2119,0.5082,0.0000,-6.1162,2.1575,-14.5467
